Date,Estimated earnings (NOK),Page views,Page RPM (NOK),Impressions,Impression RPM (NOK),Active View Viewable,Clicks
2025-10-13,9.03,193,46.77,605,14.92,0.6048,7
2025-10-14,8.82,181,48.72,510,17.29,0.6557,3
2025-10-15,8.71,172,50.65,478,18.22,0.6595,6
2025-10-16,8.04,183,43.93,539,14.92,0.6346,7
2025-10-17,7.18,137,52.40,389,18.45,0.5952,5
2025-10-18,4.36,102,42.76,258,16.91,0.5968,3
2025-10-19,5.59,127,43.99,367,15.22,0.6264,4
2025-10-20,6.50,132,49.24,382,17.01,0.6723,8
2025-10-21,6.00,121,49.59,354,16.95,0.6636,5
2025-10-22,6.98,172,40.57,442,15.79,0.7202,9
2025-10-23,5.93,125,47.44,345,17.19,0.6696,5
2025-10-24,6.38,138,46.21,318,20.05,0.6877,2
2025-10-25,7.25,77,94.18,210,34.53,0.6748,4
